"Story","Title","Result","Date","Stability","Duration (s)"
"Ejemplo Login Automatizado","Crear un nuevo empleado","PENDING","2024-09-26T14:06:18.852-05:00[America/Bogota]","0.0","9.22"
"Ejemplo Login Automatizado","Iniciar Sesión en Guru","ERROR","2024-09-20T16:26:50.972-05:00[America/Bogota]","0.0","1.85"
"Ejemplo Login Automatizado","Iniciar Sesión","FAILURE","2024-09-26T15:09:13.817-05:00[America/Bogota]","0.0","69.62"
